url,coffee_name,score,review,roast_level,review_date
https://www.coffeereview.com/review/ecuador-la-papaya-pacamara/,Ecuador La Papaya Pacamara,95,"Intricate, richly sweet-savory. Apple cider, salted caramel, basil, freesia, graphite in aroma and cup. Juicy-bright acidity; very full, syrupy mouthfeel. Complex, lingering, flavor-laden finish.",Light,Apr-25
https://www.coffeereview.com/review/ka%ca%bbu-yellow-bourbon/,Kaʻū Yellow Bourbon,95,"Richly floral, high-toned. Wisteria, dried peach, cocoa nib, tangerine, oak forest in aroma and cup. Delicately tart acidity; plush, silky mouthfeel. A resiny myrrh-like note emerges in the flavor-saturated finish.",Medium-Light,May-25
https://www.coffeereview.com/review/laos-xam-tai/,Laos Xam Tai,92,"Delicately sweet, gently herbaceous. Cocoa nib, agave syrup, pansy, cedar, grapefruit in aroma and cup. Brisk, sweet acidity; crisp, velvety mouthfeel. Rich cedar notes support cocoa nib and grapefruit in the finish.",Light,Apr-25
https://www.coffeereview.com/review/colombia-san-adolfo-huila/,Colombia San Adolfo Huila,95,"Delicate, tropical, cocoa-toned. Cocoa nib, passion fruit, bergamot, amber, wild honey in aroma and cup. Juicy, malic acidity; smooth, very satiny mouthfeel. The finish fulfills the promise of the cup with rich aromatics that linger.",Light,Apr-25
https://www.coffeereview.com/review/kenya-kirinyaga-karamundi-washed-ab/,Kenya Kirinyaga Karamundi Washed AB,95,"Richly sweet-savory. Ripe tomato, red currant, candied walnut, cedar, narcissus in aroma and cup. Bright, juicy acidity; plush, syrupy-smooth mouthfeel. Resonant, flavor-saturated, very long finish.",Light,May-25
https://www.coffeereview.com/review/costa-rica-brunca-rivense-la-guaca-passion-honey-3/,Costa Rica Brunca Rivense La Guaca Passion Honey,93,"Richly chocolaty and fruit-forward. Dark chocolate, finger lime, lychee, almond, freesia in aroma and cup. Sweetly tart structure with citric acidity; plush, satiny mouthfeel. Finish consolidates to notes of Dark chocolate and lychee.",Light,May-25
https://www.coffeereview.com/review/ka%ca%bbu-morning-glory/,Kaʻū Morning Glory,97,"Lushly sweet, rich-toned, balanced. Cocoa nib, gardenia, honeydew melon, sandalwood, allspice in aroma and cup. Juicy, sparkling acidity; vibrant, satiny-smooth mouthfeel. Resonant, perfumed, engaging and very long finish.",Light,May-25
https://www.coffeereview.com/review/peru-churupampa-pacamara/,Peru Churupampa Pacamara,94,"Balanced, deep-toned. Dark chocolate, praline, narcissus, tangerine, olive oil in aroma and cup. Sparkling acidity; plush, syrupy mouthfeel. Citrus and olive-like herbaceousness support a chocolaty finish.",Medium-Light,Apr-25
https://www.coffeereview.com/review/rwanda-kungahara-carbonic-maceration/,Rwanda Kungahara Carbonic Maceration,95,"Brightly sweet, richly tart, deep-toned. Bing cherry, lemongrass, pomelo, agave syrup, frankincense in aroma and cup. High-toned, juicy acidity; full, syrupy mouthfeel. Long, flavor-saturated, complex finish.",Light,Apr-25
https://www.coffeereview.com/review/colombia-bueasco-decaf/,Colombia Bueasco Decaf,92,"Very sweet, crisply cocoa-toned. Date, cocoa powder, Meyer lemon zest, agave syrup, oak in aroma and cup. Pert acidity; lightly satiny mouthfeel. Cocoa-toned finish supported by Meyer lemon zest and oak.",Medium-Light,Apr-25
https://www.coffeereview.com/review/ethiopia-ayla-sidamo/,Ethiopia Ayla Sidamo,95,"Richly spice-toned, gently floral. Bergamot, hop flowers, guava, oak forest, pink peppercorn in aroma and cup. High-toned, sweetly citric acidity; vibrant, very silky mouthfeel. Flavor-saturated, confidently aromatic, inviting and long finish.",Light,Apr-25
https://www.coffeereview.com/review/colombia-finca-al-paraiso-y-05-lychee/,Colombia Finca Al Paraiso Y–05 Lychee,95,"Richly sweet-tart, fruit-driven. Rambutan, candied violet, ginger blossom, bittersweet chocolate syrup, sandalwood in aroma and cup. Bright, juicy-tart acidity; very full, creamy-smooth mouthfeel. Complex, multi-layered, exceptionally long finish.",Medium,Apr-25
https://www.coffeereview.com/review/kau-red-bourbon/,Ka’u Red Bourbon,95,"Balanced, richly sweet, nuanced and complex. Dark chocolate, candied violet, salted caramel, sandalwood, jasmine in aroma and cup. Gently bright, sparkling acidity; very full, satiny mouthfeel. Resonant, integrated, satisfying finish.",Medium-Light,Apr-25
